KAT6A	RPL10
SYMPK	KAT6A
STX8	VAMP3
STX8	NSF
ELAVL1	ABCD1
ELAVL1	FN1
ELAVL1	VCAM1
ELAVL1	WWOX
ELAVL1	UBE2A
SCLY	REXO2
USP14	AR
USP14	PSMC3
PTGER4	ARRB1
KAT6A	H3-4
H3-4	RAG1
WDR5	H3-4
CTBP1	H3-4
PHF1	H3-4
H3-4	TRPM7
H4C6	RAD21
U2SURP	CUL3
U2SURP	MIR107
U2SURP	MIR25
U2SURP	DDX42
U2SURP	MIR15B
LMO7	PPP1CB
PRKAR1A	GSK3B
PRKAR1A	IFI16
PRKAR1A	MTOR
GRK2	CCR4
GRK2	GIT2
GNG5	GNB3
ATP5MF	PRKN
B2M	CFTR
NUP42	NCBP1
RPL26L1	RPL13
RPL26L1	MAGOH
RPL26L1	DGCR8
RPL26L1	NXF2
RPL26L1	NUP160
POLD4	POLD2
REL	POLE2
BTRC	REL
REL	FHIT
REL	EP300
TGFBR3	NRP1
POLR2I	PSMB9
MAPK14	CDC25B
MAPK14	CDC25C
MAPK14	LIPG
MAPK14	ATF2
MAPK14	TAB1
MAPK14	CEP164
CAPZB	ESR1
CAPZB	PPP1CB
MYH11	CAPZB
CAPZB	BLNK
SOS1	NCK1
SOS1	FRS2
PRDX6	YAP1
PRDX6	HNF4G
PRDX6	GPX4
PRDX6	PRDX6
RAB4A	LAMP1
FLOT2	PTPN1
FLOT2	ATP6V1B1
GZMA	GZMA
PML	NCOR1
PML	PYCARD
PML	MAF
PML	DAXX
PML	CCNT1
PML	AXIN1
PML	SKIL
PML	CDK6
PML	PSME3
ENO1	FBXW7
ENO1	ABAT
ENO1	WWOX
ENO1	H2AX
ENO1	CLK1
HACD1	SLC15A1
GMPPB	WDR82
KAT8	TP53
KAT8	PLAU
PDHB	PDHA1
PDHB	EIF5
NEFH	ASAH1
GNB1	GNG11
GNB1	TBXA2R
GNB1	PIK3R1
GNB1	PDCL
GNB1	MTOR
COX17	COX14
MDM4	YWHAH
MDM4	CHEK1
MDM4	MDM4
MANBA	FBXO6
F2R	CAV1
KEAP1	RFC5
RFC5	ZNF746
RFC5	RFC4
PPP1CA	OGT
PPP1CA	SMARCB1
PPP1CA	NR3C2
PPP1CA	SYNPO
PPP1CA	HDAC5
PPP1CA	PPP1R15A
PPP1CA	BAD
PAICS	EIF6
PAICS	NTRK1
PAICS	PSMC4
TRADD	CAV1
TRADD	EDAR
IST1	NF2
SIPA1L1	NADK
SIPA1L1	KSR1
LAPTM5	NEDD4
BIRC6	PSMC5
BIRC6	CASP3
IL1B	CASP1
MCM3	BRCA1
MCM3	MCM5
MCM3	NOTCH1
MCM3	RAD21
MCM3	CCL2
MCM3	HIF1A
HYAL4	IARS2
SIRT2	FOXO1
COL4A2	COLGALT2
IFNGR1	SLC9A6
MIR199A1	TAF15
TAF15	MATR3
TAF15	MIRLET7G
RPA1	TAF15
TAF15	MIRLET7E
TAF15	MIR214
OSM	LIFR
SNRPG	SART1
SART1	HSPA5
SART1	SF3A1
SART1	KMT2E
SART1	EEF1A1
RHOC	DAAM2
PDE3B	PDGFRB
CCL7	CCR3
EXOC2	LPAR6
CDK1	CDC37
CDK1	PPM1B
CDK1	UIMC1
CDK1	CDC25C
CDK1	VCAM1
CDK1	SAMHD1
CDK1	GADD45A
ELAVL1	PHLPP1
SUMO1	TP63
TP63	RBL2
BTRC	TP63
S100A1	S100A1
SNAP25	STX3
SNAP25	DGUOK
MCM8	SKAP1
MYLK2	MAPK7
MT-ND2	YME1L1
GALK1	CUL3
KIT	LCK
KIT	CD81
STAT5A	EPOR
JAK2	STAT5A
STAT5A	SMARCA4
STAT5A	CSNK2B
EPHB3	EFNB2
BRCA1	NCOA1
BRCA1	GTF2I
BRCA1	TUBG1
BRCA1	GATA3
BRCA1	BRCC3
BRCA1	AURKA
BRCA1	CHEK1
BRCA1	BARD1
BRCA1	MED17
BRCA1	TUBG1
BRCA1	SMARCB1
BRCA1	HERC2
BRCA1	ABL1
BRCA1	PIK3R1
BRCA1	REV1
RXRG	NR1H3
ERP29	H2AX
COX5A	COX4I1
TADA3	NUP205
ZNF7	TADA3
PEX1	THBS3
EIF3F	CYLD
EIF3F	EIF3G
EIF3F	RPS6KB1
CPSF1	MIR15A
CPSF1	TAF12
REL	CPSF1
CPSF1	POLR2A
CPSF1	MIRLET7I
FBXL2	PIK3R2
HEATR1	PSMB3
HEATR1	PSMD3
SLC9A3R1	PDIA3
SLC9A3R1	RACK1
SLC9A3R1	CTNNB1
PHLPP1	SLC9A3R1
MTOR	RPTOR
MTOR	LARS1
MTOR	VCP
MTOR	TRAF6
CASP8	MTOR
MTOR	EIF4E
MTOR	CFTR
SLK	MED4
MVD	CAPN1
NFYC	NFATC2
ELAVL1	PPP1R12A
PPP1R12A	ACTR2
PPP1R12A	TP53
NDUFB10	NDUFA4
FANCG	NOTCH1
FANCG	FANCL
SPTA1	FANCG
ACO2	ITGA4
ARHGEF2	RPA2
ARHGEF2	MAPK1
ARHGEF2	FOXO3
LYPLA2	PKM
PPP3CA	VCP
PPP3CA	ADRB2
BCAP31	AQP2
BCAP31	ATP2B2
TNFRSF21	PSMD4
CERS6	ATP2B2
XRCC5	PGR
XRCC5	ORC6
XRCC5	SMURF1
XRCC5	ESR1
XRCC5	RFC1
XRCC5	BAX
XRCC5	BIN1
XRCC5	DCLRE1C
XRCC5	XRCC6
SENP2	NUP133
SENP2	SUMO3
DAPK1	TNFRSF1A
RPL11	RPL18A
RPL11	MDM2
RPL11	RPL5
RPL11	NCL
RPL11	FBL
RPL11	RPL23
RPL11	GNL3
MAFB	MAFB
GRIN2B	DLG4
DDIT4	PRKN
WDR36	FBL
WDR36	PWP2
WDR36	GTPBP4
TJP2	YWHAB
MCM3	TJP2
IRF5	EP300
EPN3	RALBP1
BECN1	AMBRA1
BECN1	TAB2
BECN1	PIK3C3
ATP13A2	PEX19
PRKAR2B	GNAI3
GSTM2	GSTM2
FADS2	ATXN1L
GPD1	GK
PDIA3	MTAP
PDIA3	MCM2
PDIA3	AARS1
SERPINB13	GDF5
SGPP1	ASIC4
THBS1	LRP2
NUP98	SEC13
NUP98	ANAPC4
NUP98	CSNK2A1
NUP98	NUP58
SMG7	DNA2
MRPL2	MRPL4
BRCA1	ABRAXAS1
ABRAXAS1	BABAM2
GGA1	IGF2R
GGA1	BACE1
GGA1	SORL1
PSMA4	PSMA1
PSMA4	PSMA2
PSMA4	RAD23A
KEAP1	PSMA4
PSMA4	HUWE1
BACE2	ATP1B3
LSM1	LSM3
AK1	BRD4
PIAS2	FLI1
PIAS2	SUMO3
PIAS2	PARK7
PIAS2	TP53
GLI1	IKBKB
ARHGAP10	SH3BP2
COX6C	NDUFS3
SPTA1	XRCC6
SPTA1	ERCC3
CA4	SLC4A1
CD247	CD38
CD247	STAT5B
SLC9A1	MAP3K14
H2BC13	KEAP1
ACSL4	SH3GLB1
SRSF3	ICAM1
SRSF3	S100A9
SRSF3	CUL3
SRSF3	PAN2
SCP2	PDHA1
SMARCE1	WWOX
SMARCE1	NCOA1
SMARCE1	GOLGA2
SMARCE1	NR3C1
SMARCE1	MECP2
BTRC	IKBKG
BTRC	AGO2
BTRC	IL10RA
BTRC	CCND1
BTRC	NFKBIE
BTRC	CDC25B
BTRC	SMAD4
BTRC	EZH2
BTRC	MDM2
BTRC	YAP1
UBE4B	PSMB1
BTRC	UBE4B
UBE4B	HGS
NDRG1	S100B
NDRG1	TSG101
NR1H4	RXRA
PC	TPSB2
PC	IFIT1
DCAF1	RPL7
DCAF1	MUS81
DCAF1	FOXM1
DCAF1	UNG
REXO1	AP2M1
SMARCE1	AMOTL2
AMOTL2	MTNR1A
DOCK8	CHMP2A
DNAJB6	BAG1
DNAJB6	HSPA8
ESPL1	ACKR3
PPP1R12C	ATXN7
UBE2T	FGB
IDH1	GOT1
IL5	IL5
PGAM5	TUBA1C
PGAM5	PRKN
PGAM5	BARD1
PGAM5	MIR10B
ARHGEF7	TUBB3
ARHGEF7	CDC42
TRA2B	MIR34A
TRA2B	MIR145
TRA2B	MIR222
TRA2B	S100A9
TRA2B	MIR7-2
TRA2B	SNRNP70
TRA2B	CUL5
TRA2B	MIR1-2
RPS6KA2	HSP90AA1
PIK3C2A	GTSE1
PAIP1	PDCD4
LCAT	APOA1
MRPL20	MRPL18
EDA2R	C1QB
KRT10	AP2M1
KRT10	CRY1
PRNP	CLU
PSMF1	PSMB2
JAK2	RAF1
JAK2	CTLA4
JAK2	PTPN11
JAK2	IL12RB2
JAK2	IL6ST
FXYD1	ATP1B1
PTGS2	ELAVL1
ZNF431	CDKN1A
TTN	LMNA
TTN	EWSR1
PSMD1	PSMD11
PSMD1	SYVN1
PSMD1	HDAC5
PSMD1	GSK3A
PSMD1	PRKN
PSMD1	NTRK1
PSMD1	BLM
GBP1	KEAP1
SUMO1	DAXX
SUMO1	MTOR
NR1H4	SUMO1
SUMO1	ATXN3
SUMO1	ZBTB16
MYH11	CFTR
MYH11	PDHA1
IFIT1	IFNA8
NDUFB9	FUT1
NDUFB9	MPV17
JAM3	JAM3
SPTBN4	CDC37
EDEM1	SSR1
PLOD1	ISG15
PLOD1	CUL4B
PLOD1	PDIA3
PLOD1	MIR9-2
ECH1	HOGA1
ECH1	NDUFA4
CASP7	GNS
CASP7	BAX
THOC7	THOC2
DAGLB	IPPK
RPL7A	BRCA1
RPL7A	SFN
RPL7A	ITGA4
RPL7A	RPL37A
RPL7A	CUL7
RPL7A	CYLD
RPL7A	HUWE1
IL12B	IL23A
PPID	FES
RPA1	PAN2
RPA1	ATG101
RPA1	SNW1
RPA1	PRPF19
RPA1	BLM
RPA1	ARPC4
RPA1	HNRNPUL1
DET1	CUL4A
POLR1B	TCOF1
POLR1B	TWISTNB
RAB35	CEP97
PCGF2	UBE2E2
PCGF2	EMD
RPIA	DUSP3
CAMKK2	NEDD4
MAP3K12	HSP90AA1
ARHGEF1	CD44
H2AW	MCM2
OS9	RXYLT1
OS9	GGH
HADHB	TK1
HADHB	SMN1
HADHB	FBXO6
SNRPG	SNRPD3
SNRPG	DDX20
MPHOSPH8	SIRT1
TARDBP	RANBP1
TARDBP	RPA3
TARDBP	HNRNPA1
TARDBP	CFTR
DDIT3	RPS3A
DDIT3	PRKN
SYMPK	MIR107
SYMPK	CPSF2
SYMPK	MIR214
RPA1	SYMPK
SYMPK	CPSF4
MRPL23	MRPL10
SYCP3	SMC3
FARS2	ISG15
DPYSL2	SIRT7
ENO2	CTH
ENO2	COASY
IFNAR1	FBXW11
SMARCAD1	ZNF324B
VRK3	PLK1
FGF2	GPC4
FGF2	RPL6
VDAC3	PPIF
VDAC3	EIF4A1
PAFAH1B1	CAPN2
PAFAH1B1	PAFAH1B3
PAFAH1B1	YWHAG
ZYX	CYLD
ZYX	MED4
ZYX	SEC22B
ZYX	ATXN1
TAF3	H3-4
AKR1C2	AKR1C2
DNMT1	PCNA
DNMT1	HDAC2
DNMT1	SIRT7
DNMT1	WT1
BUD31	PRPF19
MAPK8IP2	EGFR
MAPK8IP2	MAPK8IP3
ARHGEF6	ARHGEF6
NQO1	NXF1
CREB1	CREBBP
CREB1	EP300
